version,S1,S2,S3,S4
26 Branch,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0
27,0.0,0.0,1.0,0.0
27 Branch,0.0,0.0,1.0,0.0
28 Branch,0.0,0.0,1.0,0.0
29 Branch,0.02702702702702703,0.05405405405405406,0.918918918918919,0.0
3 Branch,0.06666666666666667,0.0,0.9333333333333333,0.0
3.0,0.08695652173913043,0.13043478260869565,0.782608695652174,0.0
3.0 Branch,0.0,0.0,0.75,0.25
3.1,0.0,0.0,1.0,0.0
3.1.1,0.0,0.0,1.0,0.0
3.2.1,0.0,0.0,1.0,0.0
3.23,0.0,0.0,1.0,0.0
3.3.4,0.0,0.0,1.0,0.0
3.33,0.0,0.0,1.0,0.0
3.37,0.0,0.0,1.0,0.0
3.39,0.0,0.0,1.0,0.0
3.41,0.0,0.0,1.0,0.0
3.43,0.0,0.0,1.0,0.0
3.44,0.0,0.0,1.0,0.0
3.45,0.0,0.0,1.0,0.0
3.46,0.0,0.0,1.0,0.0
3.47,0.0,0.0,1.0,0.0
3.48,0.0,0.0,1.0,0.0
3.49,0.0,0.0,1.0,0.0
3.5,0.0,0.0,1.0,0.0
3.5 Branch,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.0
3.51,0.0,0.0,1.0,0.0
3.6 Branch,0.0,0.0,1.0,0.0
3.66,0.0,0.0,0.0,1.0
3.7,0.0,0.0,1.0,0.0
3.7.5,0.0,0.0,1.0,0.0
3.76,0.0,0.0,0.0,1.0
3.80,0.0,0.0,0.0,1.0
3.89,0.0,0.0,0.75,0.25
3.95,0.0,0.0,1.0,0.0
3.99,0.0,0.0,0.0,1.0
30 Branch,0.0,0.0,1.0,0.0
31,1.0,0.0,0.0,0.0
31 Branch,0.0,0.037037037037037035,0.9629629629629629,0.0
32 Branch,0.041666666666666664,0.041666666666666664,0.9166666666666666,0.0
33 Branch,0.03225806451612903,0.0,0.967741935483871,0.0
34 Branch,0.037037037037037035,0.07407407407407407,0.8888888888888888,0.0
35 Branch,0.02702702702702703,0.0,0.972972972972973,0.0
36 Branch,0.1111111111111111,0.027777777777777776,0.8611111111111112,0.0
37 Branch,0.08,0.08,0.84,0.0
38,0.0,1.0,0.0,0.0
38 Branch,0.10714285714285714,0.07142857142857142,0.8214285714285714,0.0
